condition	seed	s2_lw_final	s2_global_final	density_final	s2_slope_0_2h	time_to_0.8
baseline	1	0.8530	0.3862	1596.6774	0.1251	1.397
baseline	2	0.8354	0.3297	1424.5824	0.1009	1.973
baseline	3	0.8423	0.2211	1557.9702	0.1166	1.557
baseline	4	0.8717	0.5087	1881.7667	0.1028	2.134
baseline	5	0.8667	0.3573	1748.1580	0.1116	1.617
no_zipper	1	0.5656	0.0563	379.6416	0.0023	never
no_zipper	2	0.5685	0.0753	359.9240	-0.0082	never
no_zipper	3	0.5810	0.0424	361.2219	0.0011	never
no_zipper	4	0.5592	0.1004	369.6261	0.0002	never
no_zipper	5	0.5674	0.0866	351.9493	0.0036	never
zipper_to_cross	1	0.9140	0.8926	1822.3148	0.1404	1.121
zipper_to_cross	2	0.9160	0.9002	1973.0261	0.1547	1.179
zipper_to_cross	3	0.9153	0.8878	1898.7882	0.1629	0.914
zipper_to_cross	4	0.9093	0.8867	1763.6488	0.1324	1.387
zipper_to_cross	5	0.9129	0.8944	1754.2003	0.1242	1.222
no_induced_catas	1	0.3714	0.1159	1116.8728	0.0230	never
no_induced_catas	2	0.3673	0.1012	1086.3957	0.0138	never
no_induced_catas	3	0.3746	0.1009	1093.6012	0.0151	never
no_induced_catas	4	0.3494	0.0619	1034.2344	0.0047	never
no_induced_catas	5	0.3476	0.0523	990.6642	0.0116	never
always_catas	1	0.7060	0.0506	211.7437	0.0066	never
always_catas	2	0.6976	0.0766	224.1929	-0.0006	never
always_catas	3	0.7215	0.0327	217.9009	-0.0004	never
always_catas	4	0.7221	0.0526	225.9709	-0.0026	never
always_catas	5	0.6943	0.0735	213.8259	-0.0025	never
