time	density	<l>	S2	S2angle	S4	S4angle	#growing	#shrinking	#segments	#trajectories	zippering_ev	crossover_ev	induced_catastrophe_ev	valid_deterministic_ev	invalid_deterministic_ev	stochastic_ev	optical_density	microtubules	segments_per_MT	random_severing_ev	intersection_severing_ev	S2opt	S2opt_angle	S4opt	S4opt_angle	occupied_intersections	R	R_x	R_y	R_z	G_eff_adjusted_normal	G_eff_adjusted_special	G_eff_measured	G_eff_adjusted_min	G_eff_adjusted_max	G_eff_adjusted_S2angle	nucleation_ev	deflection_ev	n_occupied_NCs
180	0.193179	6.36522	0.0425021	0.497108	0.00719003	0.719616	506	47	1723	2323	0	1793	0	4363	1300	838	0.193179	553	3.11573	0	0	0.0425021	0.497108	0.00719003	0.719616	229	0.0643061	0.0375836	-0.901305	0.431552	-0.050685	-0.050685	-0.0507616	-0.050685	-0.050685	-0.050685	653	1303	0
360	0.610324	11.371	0.0444276	1.26264	0.0133349	0.36222	866	112	4532	6481	0	16534	0	29067	4637	1968	0.610324	978	4.63395	0	0	0.0444276	1.26264	0.0133349	0.36222	2162	0.0634464	0.966331	-0.0633376	0.249383	-0.050685	-0.050685	-0.0504291	-0.050685	-0.050685	-0.050685	1332	4420	0
540	1.13476	16.179	0.0150129	1.41409	0.0241772	0.342306	1087	191	7759	11467	0	53971	0	87889	9004	3259	1.13476	1278	6.07121	0	0	0.0150129	1.41409	0.0241772	0.342306	7565	0.0275833	-0.939222	-0.0466397	-0.340127	-0.050685	-0.050685	-0.050857	-0.050685	-0.050685	-0.050685	1948	8795	0
720	1.7278	19.9131	0.012291	1.0159	0.0200227	0.283618	1311	270	11564	17216	0	126705	0	200566	14171	4767	1.7278	1581	7.31436	0	0	0.012291	1.0159	0.0200227	0.283618	17247	0.0157415	-0.892146	0.103053	-0.439835	-0.050685	-0.050685	-0.0508526	-0.050685	-0.050685	-0.050685	2598	14308	0
900	2.35986	22.86	0.0118722	0.927586	0.0260092	0.19163	1520	361	15500	23172	0	247224	0	388397	20279	6488	2.35986	1881	8.2403	0	0	0.0118722	0.927586	0.0260092	0.19163	31981	0.0148902	0.815769	0.397215	0.420407	-0.050685	-0.050685	-0.0506224	-0.050685	-0.050685	-0.050685	3292	20791	0
1080	3.02275	26.0787	0.00993628	1.45674	0.025496	0.201904	1668	444	19529	29310	0	428248	0	671974	26972	8334	3.02275	2112	9.24669	0	0	0.00993628	1.45674	0.025496	0.201904	53061	0.0206069	0.910073	0.377753	0.170497	-0.050685	-0.050685	-0.0506242	-0.050685	-0.050685	-0.050685	3950	28164	0
1260	3.67308	28.7245	0.00861966	0.906197	0.0226156	0.182131	1816	514	23471	35376	0	666151	0	1056309	34209	10398	3.67308	2330	10.0734	0	0	0.00861966	0.906197	0.0226156	0.182131	78010	0.0211103	-0.717666	-0.676131	-0.166739	-0.050685	-0.050685	-0.0505706	-0.050685	-0.050685	-0.050685	4623	36042	0
1440	4.29799	31.7449	0.0078687	1.00604	0.0157357	0.0801655	1920	547	27226	41217	0	961141	0	1550745	41971	12520	4.29799	2467	11.0361	0	0	0.0078687	1.00604	0.0157357	0.0801655	106983	0.0162458	-0.602939	-0.761064	-0.239261	-0.050685	-0.050685	-0.0506423	-0.050685	-0.050685	-0.050685	5261	44654	0
1620	4.87133	33.5583	0.0102271	1.09819	0.00900537	0.0111794	1988	657	30703	46650	0	1308531	0	2146807	49819	14776	4.87133	2645	11.6079	0	0	0.0102271	1.09819	0.00900537	0.0111794	137274	0.0126495	-0.502182	-0.859767	0.0928147	-0.050685	-0.050685	-0.050707	-0.050685	-0.050685	-0.050685	5896	53458	0
1800	5.47792	35.4959	0.0124859	1.25333	0.00413943	-0.18259	2129	683	34508	52510	0	1725764	0	2851592	58141	17119	5.47792	2812	12.2717	0	0	0.0124859	1.25333	0.00413943	-0.18259	173910	0.00679711	-0.880208	-0.17598	-0.440754	-0.050685	-0.050685	-0.0506609	-0.050685	-0.050685	-0.050685	6569	63021	0
